contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	Yes	Assembly Age	Colorado;Grand County	total	2531
BallotMeasure	state	Yes	Assembly Age	Colorado;Gunnison County	total	3816
BallotMeasure	state	Yes	Assembly Age	Colorado;Hinsdale County	total	163
BallotMeasure	state	Yes	Assembly Age	Colorado;Huerfano County	total	1205
BallotMeasure	state	Yes	Assembly Age	Colorado;Jackson County	total	194
BallotMeasure	state	Yes	Assembly Age	Colorado;Jefferson County	total	104897
BallotMeasure	state	Yes	Assembly Age	Colorado;Kiowa County	total	149
BallotMeasure	state	Yes	Assembly Age	Colorado;Kit Carson County	total	473
BallotMeasure	state	Yes	Assembly Age	Colorado;La Plata County	total	11329
BallotMeasure	state	Yes	Assembly Age	Colorado;Lake County	total	1095
BallotMeasure	state	Yes	Assembly Age	Colorado;Larimer County	total	67718
BallotMeasure	state	Yes	Assembly Age	Colorado;Las Animas County	total	1856
BallotMeasure	state	Yes	Assembly Age	Colorado;Lincoln County	total	343
BallotMeasure	state	Yes	Assembly Age	Colorado;Logan County	total	1844
BallotMeasure	state	Yes	Assembly Age	Colorado;Mesa County	total	18103
BallotMeasure	state	Yes	Assembly Age	Colorado;Mineral County	total	182
BallotMeasure	state	Yes	Assembly Age	Colorado;Moffat County	total	1139
BallotMeasure	state	Yes	Assembly Age	Colorado;Montezuma County	total	3503
BallotMeasure	state	Yes	Assembly Age	Colorado;Montrose County	total	4563
BallotMeasure	state	Yes	Assembly Age	Colorado;Morgan County	total	2488
BallotMeasure	state	Yes	Assembly Age	Colorado;Otero County	total	2028
BallotMeasure	state	Yes	Assembly Age	Colorado;Ouray County	total	1380
BallotMeasure	state	Yes	Assembly Age	Colorado;Park County	total	2770
BallotMeasure	state	Yes	Assembly Age	Colorado;Phillips County	total	385
BallotMeasure	state	Yes	Assembly Age	Colorado;Pitkin County	total	5008
BallotMeasure	state	Yes	Assembly Age	Colorado;Prowers County	total	881
BallotMeasure	state	Yes	Assembly Age	Colorado;Pueblo County	total	21080
BallotMeasure	state	Yes	Assembly Age	Colorado;Rio Blanco County	total	592
BallotMeasure	state	Yes	Assembly Age	Colorado;Rio Grande County	total	1332
