contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Pitkin County	total	5339
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Prowers County	total	1812
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Pueblo County	total	33079
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Rio Blanco County	total	1273
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Rio Grande County	total	2275
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Routt County	total	7626
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Saguache County	total	1386
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;San Juan County	total	234
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;San Miguel County	total	2591
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Sedgwick County	total	528
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Summit County	total	8095
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Teller County	total	5868
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Washington County	total	1001
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Weld County	total	57143
BallotMeasure	state	No	Compensation for Market Value Reduction	Colorado;Yuma County	total	1724
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Adams County	total	85868
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Alamosa County	total	2870
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Arapahoe County	total	128894
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Archuleta County	total	3905
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Baca County	total	1103
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Bent County	total	1020
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Boulder County	total	52179
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Broomfield County	total	14740
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Chaffee County	total	4970
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Cheyenne County	total	527
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Clear Creek County	total	2586
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Conejos County	total	1775
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Costilla County	total	835
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Crowley County	total	805
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Custer County	total	1541
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Delta County	total	7635
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Denver County	total	113531
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Dolores County	total	644
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Douglas County	total	83713
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Eagle County	total	9714
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;El Paso County	total	125307
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Elbert County	total	8431
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Fremont County	total	10564
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Garfield County	total	11315
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Gilpin County	total	1693
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Grand County	total	3597
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Gunnison County	total	3477
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Hinsdale County	total	296
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Huerfano County	total	1983
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Jackson County	total	444
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Jefferson County	total	136750
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Kiowa County	total	454
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Kit Carson County	total	1545
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;La Plata County	total	13635
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Lake County	total	1283
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Larimer County	total	83174
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Las Animas County	total	3399
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Lincoln County	total	1113
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Logan County	total	4677
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Mesa County	total	35282
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Mineral County	total	293
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Moffat County	total	2845
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Montezuma County	total	6740
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Montrose County	total	10216
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Morgan County	total	6046
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Otero County	total	3792
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Ouray County	total	1386
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Park County	total	5187
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Phillips County	total	1068
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Pitkin County	total	4138
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Prowers County	total	2214
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Pueblo County	total	31973
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Rio Blanco County	total	1708
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Rio Grande County	total	2502
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Routt County	total	5418
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Saguache County	total	1241
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;San Juan County	total	202
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;San Miguel County	total	1395
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Sedgwick County	total	657
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Summit County	total	5682
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Teller County	total	6597
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Washington County	total	1342
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Weld County	total	66991
BallotMeasure	state	Yes	Compensation for Market Value Reduction	Colorado;Yuma County	total	2298
BallotMeasure	state	No	Congressional Redistricting	Colorado;Adams County	total	53736
BallotMeasure	state	No	Congressional Redistricting	Colorado;Alamosa County	total	2120
BallotMeasure	state	No	Congressional Redistricting	Colorado;Arapahoe County	total	73066
BallotMeasure	state	No	Congressional Redistricting	Colorado;Archuleta County	total	2067
BallotMeasure	state	No	Congressional Redistricting	Colorado;Baca County	total	816
BallotMeasure	state	No	Congressional Redistricting	Colorado;Bent County	total	718
BallotMeasure	state	No	Congressional Redistricting	Colorado;Boulder County	total	38335
BallotMeasure	state	No	Congressional Redistricting	Colorado;Broomfield County	total	9116
BallotMeasure	state	No	Congressional Redistricting	Colorado;Chaffee County	total	3149
BallotMeasure	state	No	Congressional Redistricting	Colorado;Cheyenne County	total	439
BallotMeasure	state	No	Congressional Redistricting	Colorado;Clear Creek County	total	1434
BallotMeasure	state	No	Congressional Redistricting	Colorado;Conejos County	total	1538
BallotMeasure	state	No	Congressional Redistricting	Colorado;Costilla County	total	544
BallotMeasure	state	No	Congressional Redistricting	Colorado;Crowley County	total	539
BallotMeasure	state	No	Congressional Redistricting	Colorado;Custer County	total	1101
BallotMeasure	state	No	Congressional Redistricting	Colorado;Delta County	total	5213
BallotMeasure	state	No	Congressional Redistricting	Colorado;Denver County	total	57782
BallotMeasure	state	No	Congressional Redistricting	Colorado;Dolores County	total	592
BallotMeasure	state	No	Congressional Redistricting	Colorado;Douglas County	total	52018
BallotMeasure	state	No	Congressional Redistricting	Colorado;Eagle County	total	5293
BallotMeasure	state	No	Congressional Redistricting	Colorado;El Paso County	total	72431
BallotMeasure	state	No	Congressional Redistricting	Colorado;Elbert County	total	5312
BallotMeasure	state	No	Congressional Redistricting	Colorado;Fremont County	total	6027
BallotMeasure	state	No	Congressional Redistricting	Colorado;Garfield County	total	7338
BallotMeasure	state	No	Congressional Redistricting	Colorado;Gilpin County	total	1005
BallotMeasure	state	No	Congressional Redistricting	Colorado;Grand County	total	2145
BallotMeasure	state	No	Congressional Redistricting	Colorado;Gunnison County	total	2158
BallotMeasure	state	No	Congressional Redistricting	Colorado;Hinsdale County	total	174
BallotMeasure	state	No	Congressional Redistricting	Colorado;Huerfano County	total	1062
BallotMeasure	state	No	Congressional Redistricting	Colorado;Jackson County	total	336
BallotMeasure	state	No	Congressional Redistricting	Colorado;Jefferson County	total	81620
BallotMeasure	state	No	Congressional Redistricting	Colorado;Kiowa County	total	304
BallotMeasure	state	No	Congressional Redistricting	Colorado;Kit Carson County	total	1100
BallotMeasure	state	No	Congressional Redistricting	Colorado;La Plata County	total	6280
BallotMeasure	state	No	Congressional Redistricting	Colorado;Lake County	total	924
BallotMeasure	state	No	Congressional Redistricting	Colorado;Larimer County	total	50111
BallotMeasure	state	No	Congressional Redistricting	Colorado;Las Animas County	total	2021
BallotMeasure	state	No	Congressional Redistricting	Colorado;Lincoln County	total	900
BallotMeasure	state	No	Congressional Redistricting	Colorado;Logan County	total	3449
BallotMeasure	state	No	Congressional Redistricting	Colorado;Mesa County	total	20549
BallotMeasure	state	No	Congressional Redistricting	Colorado;Mineral County	total	165
BallotMeasure	state	No	Congressional Redistricting	Colorado;Moffat County	total	2457
BallotMeasure	state	No	Congressional Redistricting	Colorado;Montezuma County	total	4423
BallotMeasure	state	No	Congressional Redistricting	Colorado;Montrose County	total	6360
BallotMeasure	state	No	Congressional Redistricting	Colorado;Morgan County	total	4296
BallotMeasure	state	No	Congressional Redistricting	Colorado;Otero County	total	2676
BallotMeasure	state	No	Congressional Redistricting	Colorado;Ouray County	total	761
BallotMeasure	state	No	Congressional Redistricting	Colorado;Park County	total	3082
BallotMeasure	state	No	Congressional Redistricting	Colorado;Phillips County	total	859
BallotMeasure	state	No	Congressional Redistricting	Colorado;Pitkin County	total	1501
BallotMeasure	state	No	Congressional Redistricting	Colorado;Prowers County	total	1795
BallotMeasure	state	No	Congressional Redistricting	Colorado;Pueblo County	total	19749
BallotMeasure	state	No	Congressional Redistricting	Colorado;Rio Blanco County	total	1360
BallotMeasure	state	No	Congressional Redistricting	Colorado;Rio Grande County	total	1967
BallotMeasure	state	No	Congressional Redistricting	Colorado;Routt County	total	3330
BallotMeasure	state	No	Congressional Redistricting	Colorado;Saguache County	total	797
BallotMeasure	state	No	Congressional Redistricting	Colorado;San Juan County	total	110
BallotMeasure	state	No	Congressional Redistricting	Colorado;San Miguel County	total	761
BallotMeasure	state	No	Congressional Redistricting	Colorado;Sedgwick County	total	548
BallotMeasure	state	No	Congressional Redistricting	Colorado;Summit County	total	2914
BallotMeasure	state	No	Congressional Redistricting	Colorado;Teller County	total	3619
BallotMeasure	state	No	Congressional Redistricting	Colorado;Washington County	total	1159
BallotMeasure	state	No	Congressional Redistricting	Colorado;Weld County	total	44942
BallotMeasure	state	No	Congressional Redistricting	Colorado;Yuma County	total	1767
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Adams County	total	107596
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Alamosa County	total	3696
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Arapahoe County	total	181148
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Archuleta County	total	4359
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Baca County	total	979
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Bent County	total	1057
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Boulder County	total	129263
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Broomfield County	total	25338
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Chaffee County	total	7284
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Cheyenne County	total	520
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Clear Creek County	total	3714
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Conejos County	total	1709
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Costilla County	total	905
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Crowley County	total	810
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Custer County	total	1694
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Delta County	total	9215
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Denver County	total	232706
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Dolores County	total	532
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Douglas County	total	115345
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Eagle County	total	15183
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;El Paso County	total	193917
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Elbert County	total	8825
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Fremont County	total	12887
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Garfield County	total	15461
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Gilpin County	total	2187
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Grand County	total	5146
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Gunnison County	total	6099
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Hinsdale County	total	355
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Huerfano County	total	2425
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Jackson County	total	398
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Jefferson County	total	209787
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Kiowa County	total	424
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Kit Carson County	total	1851
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;La Plata County	total	20693
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Lake County	total	1784
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Larimer County	total	120988
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Las Animas County	total	3973
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Lincoln County	total	1139
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Logan County	total	4580
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Mesa County	total	44586
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Mineral County	total	400
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Moffat County	total	2658
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Montezuma County	total	6808
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Montrose County	total	11764
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Morgan County	total	5916
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Otero County	total	4514
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Ouray County	total	2340
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Park County	total	6074
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Phillips County	total	1060
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Pitkin County	total	7614
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Prowers County	total	2149
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Pueblo County	total	44949
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Rio Blanco County	total	1499
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Rio Grande County	total	2766
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Routt County	total	9090
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Saguache County	total	1716
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;San Juan County	total	312
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;San Miguel County	total	3071
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Sedgwick County	total	590
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Summit County	total	10433
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Teller County	total	8767
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Washington County	total	1152
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Weld County	total	72668
BallotMeasure	state	Yes	Congressional Redistricting	Colorado;Yuma County	total	2140
BallotMeasure	state	No	Funding for Public Schools	Colorado;Adams County	total	87753
BallotMeasure	state	No	Funding for Public Schools	Colorado;Alamosa County	total	3321
BallotMeasure	state	No	Funding for Public Schools	Colorado;Arapahoe County	total	135625
BallotMeasure	state	No	Funding for Public Schools	Colorado;Archuleta County	total	3659
BallotMeasure	state	No	Funding for Public Schools	Colorado;Baca County	total	1303
BallotMeasure	state	No	Funding for Public Schools	Colorado;Bent County	total	1267
BallotMeasure	state	No	Funding for Public Schools	Colorado;Boulder County	total	62329
BallotMeasure	state	No	Funding for Public Schools	Colorado;Broomfield County	total	17528
BallotMeasure	state	No	Funding for Public Schools	Colorado;Chaffee County	total	5774
BallotMeasure	state	No	Funding for Public Schools	Colorado;Cheyenne County	total	739
BallotMeasure	state	No	Funding for Public Schools	Colorado;Clear Creek County	total	2809
BallotMeasure	state	No	Funding for Public Schools	Colorado;Conejos County	total	2107
BallotMeasure	state	No	Funding for Public Schools	Colorado;Costilla County	total	833
BallotMeasure	state	No	Funding for Public Schools	Colorado;Crowley County	total	951
BallotMeasure	state	No	Funding for Public Schools	Colorado;Custer County	total	1964
BallotMeasure	state	No	Funding for Public Schools	Colorado;Delta County	total	9270
BallotMeasure	state	No	Funding for Public Schools	Colorado;Denver County	total	114947
BallotMeasure	state	No	Funding for Public Schools	Colorado;Dolores County	total	816
BallotMeasure	state	No	Funding for Public Schools	Colorado;Douglas County	total	107890
BallotMeasure	state	No	Funding for Public Schools	Colorado;Eagle County	total	10277
BallotMeasure	state	No	Funding for Public Schools	Colorado;El Paso County	total	181566
BallotMeasure	state	No	Funding for Public Schools	Colorado;Elbert County	total	10647
BallotMeasure	state	No	Funding for Public Schools	Colorado;Fremont County	total	13082
BallotMeasure	state	No	Funding for Public Schools	Colorado;Garfield County	total	11873
BallotMeasure	state	No	Funding for Public Schools	Colorado;Gilpin County	total	1746
BallotMeasure	state	No	Funding for Public Schools	Colorado;Grand County	total	4051
BallotMeasure	state	No	Funding for Public Schools	Colorado;Gunnison County	total	3679
BallotMeasure	state	No	Funding for Public Schools	Colorado;Hinsdale County	total	336
BallotMeasure	state	No	Funding for Public Schools	Colorado;Huerfano County	total	2077
BallotMeasure	state	No	Funding for Public Schools	Colorado;Jackson County	total	503
BallotMeasure	state	No	Funding for Public Schools	Colorado;Jefferson County	total	156189
BallotMeasure	state	No	Funding for Public Schools	Colorado;Kiowa County	total	562
BallotMeasure	state	No	Funding for Public Schools	Colorado;Kit Carson County	total	2164
BallotMeasure	state	No	Funding for Public Schools	Colorado;La Plata County	total	14469
BallotMeasure	state	No	Funding for Public Schools	Colorado;Lake County	total	1338
BallotMeasure	state	No	Funding for Public Schools	Colorado;Larimer County	total	83393
BallotMeasure	state	No	Funding for Public Schools	Colorado;Las Animas County	total	4070
BallotMeasure	state	No	Funding for Public Schools	Colorado;Lincoln County	total	1443
BallotMeasure	state	No	Funding for Public Schools	Colorado;Logan County	total	4684
BallotMeasure	state	No	Funding for Public Schools	Colorado;Mesa County	total	43416
BallotMeasure	state	No	Funding for Public Schools	Colorado;Mineral County	total	323
BallotMeasure	state	No	Funding for Public Schools	Colorado;Moffat County	total	3618
BallotMeasure	state	No	Funding for Public Schools	Colorado;Montezuma County	total	6555
BallotMeasure	state	No	Funding for Public Schools	Colorado;Montrose County	total	12252
BallotMeasure	state	No	Funding for Public Schools	Colorado;Morgan County	total	6786
BallotMeasure	state	No	Funding for Public Schools	Colorado;Otero County	total	4901
BallotMeasure	state	No	Funding for Public Schools	Colorado;Ouray County	total	1411
BallotMeasure	state	No	Funding for Public Schools	Colorado;Park County	total	5989
BallotMeasure	state	No	Funding for Public Schools	Colorado;Phillips County	total	1196
BallotMeasure	state	No	Funding for Public Schools	Colorado;Pitkin County	total	3849
BallotMeasure	state	No	Funding for Public Schools	Colorado;Prowers County	total	2761
BallotMeasure	state	No	Funding for Public Schools	Colorado;Pueblo County	total	41604
BallotMeasure	state	No	Funding for Public Schools	Colorado;Rio Blanco County	total	1991
BallotMeasure	state	No	Funding for Public Schools	Colorado;Rio Grande County	total	3130
BallotMeasure	state	No	Funding for Public Schools	Colorado;Routt County	total	6265
BallotMeasure	state	No	Funding for Public Schools	Colorado;Saguache County	total	1374
BallotMeasure	state	No	Funding for Public Schools	Colorado;San Juan County	total	204
BallotMeasure	state	No	Funding for Public Schools	Colorado;San Miguel County	total	1754
BallotMeasure	state	No	Funding for Public Schools	Colorado;Sedgwick County	total	669
BallotMeasure	state	No	Funding for Public Schools	Colorado;Summit County	total	6416
BallotMeasure	state	No	Funding for Public Schools	Colorado;Teller County	total	8864
BallotMeasure	state	No	Funding for Public Schools	Colorado;Washington County	total	1541
BallotMeasure	state	No	Funding for Public Schools	Colorado;Weld County	total	73643
BallotMeasure	state	No	Funding for Public Schools	Colorado;Yuma County	total	2785
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Adams County	total	76761
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Alamosa County	total	2537
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Arapahoe County	total	123763
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Archuleta County	total	2811
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Baca County	total	505
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Bent County	total	566
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Boulder County	total	106527
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Broomfield County	total	17865
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Chaffee County	total	4786
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Cheyenne County	total	253
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Clear Creek County	total	2382
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Conejos County	total	1216
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Costilla County	total	635
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Crowley County	total	396
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Custer County	total	854
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Delta County	total	5270
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Denver County	total	186027
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Dolores County	total	322
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Douglas County	total	63467
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Eagle County	total	10673
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;El Paso County	total	90017
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Elbert County	total	3640
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Fremont County	total	6012
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Garfield County	total	11525
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Gilpin County	total	1505
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Grand County	total	3493
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Gunnison County	total	4924
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Hinsdale County	total	214
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Huerfano County	total	1400
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Jackson County	total	254
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Jefferson County	total	140963
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Kiowa County	total	178
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Kit Carson County	total	840
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;La Plata County	total	12947
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Lake County	total	1472
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Larimer County	total	92642
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Las Animas County	total	1974
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Lincoln County	total	606
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Logan County	total	3539
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Mesa County	total	22408
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Mineral County	total	247
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Moffat County	total	1625
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Montezuma County	total	4852
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Montrose County	total	6135
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Morgan County	total	3640
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Otero County	total	2322
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Ouray County	total	1720
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Park County	total	3300
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Phillips County	total	802
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Pitkin County	total	5573
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Prowers County	total	1261
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Pueblo County	total	23413
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Rio Blanco County	total	940
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Rio Grande County	total	1649
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Routt County	total	6634
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Saguache County	total	1229
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;San Juan County	total	226
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;San Miguel County	total	2196
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Sedgwick County	total	513
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Summit County	total	7231
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Teller County	total	3589
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Washington County	total	823
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Weld County	total	48209
BallotMeasure	state	Yes	Funding for Public Schools	Colorado;Yuma County	total	1229
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Adams County	total	71286
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Alamosa County	total	2463
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Arapahoe County	total	100008
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Archuleta County	total	2584
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Baca County	total	932
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Bent County	total	904
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Boulder County	total	51783
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Broomfield County	total	12682
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Chaffee County	total	3991
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Cheyenne County	total	481
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Clear Creek County	total	1791
BallotMeasure	state	No	Industrial Hemp Definition	Colorado;Conejos County	total	1755
