BallotName	Party
Julia Stewart	
Eliot Tipton	
Jay Frank Kucera	Republican Party
James Rashad Coleman	Democratic Party
Julie Gonzales	Democratic Party
Gordon Alley	Republican Party
"Robert ""Dave"" John"	Republican Party
Serena Gonzales-Gutierrez	Democratic Party
Marc Catlin	Republican Party
Seth Cagin	Democratic Party
Todd Jay Plewe	
Mark Baisley	Republican Party
Kamala Vanderkolk	Democratic Party
Tony Gross	Libertarian Party
Lawrence Bowling	
Monica J. Gomez	
Susanna Meissner-Cutler	
Kim Ransom	Republican Party
Simone Aiken	Democratic Party
Danielle Kombo	Democratic Party
Patrick Neville	Republican Party
Julia Varnell-Sarjeant	Democratic Party
Chris Holbert	Republican Party
Steve Peterson	Independent
Kevin Van Winkle	Republican Party
Barrett Rothe	Democratic Party
Scott Wagner	Unity Party of Colorado
Nicki Mills	Republican Party
Dylan Roberts	Democratic Party
Luke Bray	Unaffiliated
Mary Elizabeth Fabian	Republican Party
Marc A. Snyder	Democratic Party
Maile Foster	Independent
Eric Bentley	
Linda Margaret Billings-Vela	
Jill M. Brady	
Robert L. Lowrey	
Timothy Schutz	
Larry Edward Schwartz	
Scott A. Sells	
David L. Shakes	
Christopher Edward Acker	
Lawrence D. Martin	
Douglas J. Miles	
Ann M. Rotolo	
Tim Geitner	Republican Party
Asia M. Zanders	Democratic Party
Terri Carver	Republican Party
Kent Edward Jarnig	Democratic Party
Lois Landgraf	Republican Party
Liz Rosenbaum	Democratic Party
Gil Armendariz	Democratic Party
Paul Lundeen	Republican Party
Shane Sandridge	Republican Party
Paul J. Haddick	Democratic Party
Brenda Krause	Democratic Party
Dave Williams	Republican Party
Andrew Smith	Democratic Party
Larry G. Liston	Republican Party
John Hjersman	Libertarian Party
Pete Lee	Democratic Party
Pat McIntire	Republican Party
Kit Roupe	Republican Party
"Thomas ""Tony"" Exum Sr."	Democratic Party
Palmer L. Boyette	
Bri Buentello	Democratic Party
Don Bendell	Republican Party
Bob Rankin	Republican Party
Colin Wilhelm	Democratic Party
James Berkley Boyd	
Anne K. Norrdin	
Christopher G. Seldin	
Paul H. Metzger	
Jonathan Bruce Pototsky	
Christie A. Bachmeyer	
Diego G. Hunt	
Laura A. Tighe	
David C. Taylor	
Michael A. O'Hara III	
Nicholas Catanzarite	
Cindy Wilson	
Susan Lori Fisch	
Mark Marrow Randall	
Ryan James Stuart	
Thomas Vance	
Jean Woodford	
Todd Kastetter	Democratic Party
Colin Larson	Republican Party
Brad K. Evans	
Margaret (Peggy) A. Catlin	
Jennifer Hope	
Christine Jensen	Republican Party
Jessie Danielson	Democratic Party
Charles Messick	Libertarian Party
Brittany Pettersen	Democratic Party
Tony Sanchez	Republican Party
Steve Szutenbach	Republican Party
Lisa A. Cutter	Democratic Party
Arthur Erwin	Republican Party
Monica Duran	Democratic Party
Brianna Titone	Democratic Party
Vicki Pyne	Republican Party
Grady Nouis	Republican Party
Tracy Kraft-Tharp	Democratic Party
Hans V. Romer	Libertarian Party
Chris Kennedy	Democratic Party
Joan Poston	Republican Party
Kristina Joy Alley	Republican Party
Kerry Tipper	Democratic Party
Ross Klopf	Libertarian Party
Gary W. Davis	
Charles M. Hobbs	
Carl S. McGuire III	
Michael Keith Singer	
Michael K. Grinnan	
Donna Walter	Republican Party
Joann Ginal	Democratic Party
Thomas L. Lynch	
Peter E. Schoon Jr.	
Jeni Arndt	Democratic Party
Rebecca Cranston	Democratic Party
Rob Woodward	Republican Party
Perry L. Buck	Republican Party
Conor Duffy	Democratic Party
Joan Shaffer	Democratic Party
Hugh McKean	Republican Party
Truston Lee Fisher	
Ray Scott	Republican Party
Lance Phillip Timbreza	
Bruce R. Raaum	
Tanya Travis	Democratic Party
Janice Rich	Republican Party
Sandra H. Gardner	
JenniLynn Lawrence	
Ben A. Morris	
Douglas R. Manley	
Brian L. Green	
Erin Fernandez-Ely	
Curtis Lane Porter	
Leroy M. Garcia	Democratic Party
John Pickerill	Libertarian Party
Daneya Esgar	Democratic Party
Jonathan Ambler	Republican Party
Deborah R. Eyler	
Kim Karn	
Steven B. Fieldman	
David Lee Lobato	
Laurie Anne Noble	
Barbara A. Zollars	
James H. Garrecht	
Anna Ulrich	
Susanne J. Ross	
Theresa L. Kilgore	
Kelly S. Hansen	
Stephen Alan Humphrey	Republican Party
Gbenga Ajiboye	Democratic Party
James F. Hartmann	
Todd L. Taylor	
John Joseph Briggs	
Michele Lynn Meyer	
Dana Nichols	
Charles S. Unfug	
Lori A. Saine	Republican Party
Brandon D. Bobian	Democratic Party
Joe Johnson	Libertarian Party
John Cooke	Republican Party
Phil Kelley	Democratic Party
Eric E. Joss	Libertarian Party
Rochelle Galindo	Democratic Party
Michael A. Thuener	Republican Party
